Also available at https://gist.github.com/ced52ea2e02996c1eb4b
Character   199           (Chr(199):               Ç
Character   200           (Chr(200):               È
Character   201           (Chr(201):               É
Character   202           (Chr(202):               Ê
Character   203           (Chr(203):               Ë
Character   204           (Chr(204):               Ì
Character   205           (Chr(205):               Í
Character   206           (Chr(206):               Î
Character   207           (Chr(207):               Ï
Character   208           (Chr(208):               Ð
Character   209           (Chr(209):               Ñ
Character   210           (Chr(210):               Ò
Character   211           (Chr(211):               Ó
Character   212           (Chr(212):               Ô
Character   213           (Chr(213):               Õ
Character   214           (Chr(214):               Ö
Character   215           (Chr(215):               ×
Character   216           (Chr(216):               Ø
Character   217           (Chr(217):               Ù
Character   218           (Chr(218):               Ú
Character   219           (Chr(219):               Û
Character   220           (Chr(220):               Ü
Character   221           (Chr(221):               Ý
Character   222           (Chr(222):               Þ
Character   223           (Chr(223):               ß
Character   224           (Chr(224):               à
Character   225           (Chr(225):               á
Character   226           (Chr(226):               â
Character   227           (Chr(227):               ã
Character   228           (Chr(228):               ä
Character   229           (Chr(229):               å
Character   230           (Chr(230):               æ
Character   231           (Chr(231):               ç
Character   232           (Chr(232):               è
Character   233           (Chr(233):               é
Character   234           (Chr(234):               ê
Character   235           (Chr(235):               ë
Character   236           (Chr(236):               ì
Character   237           (Chr(237):               í
Character   238           (Chr(238):               î
Character   239           (Chr(239):               ï
Character   240           (Chr(240):               ð
Character   241           (Chr(241):               ñ
Character   242           (Chr(242):               ò
Character   243           (Chr(243):               ó
Character   244           (Chr(244):               ô
Character   245           (Chr(245):               õ
Character   246           (Chr(246):               ö
Character   247           (Chr(247):               ÷
Character   248           (Chr(248):               ø
Character   249           (Chr(249):               ù
Character   250           (Chr(250):               ú
Character   251           (Chr(251):               û
Character   252           (Chr(252):               ü
Character   253           (Chr(253):               ý
Character   254           (Chr(254):               þ
Character   255           (Chr(255):               ÿ
